"block","plot","transect","subtransect","date","species","height_m"
"E1","E1:CG","E1:CG:M","E1:CG:M:1","2017-06-27","X",NA
"E1","E1:CG","E1:CG:M","E1:CG:M:2","2017-06-27","X",NA
"E1","E1:CG","E1:CG:M","E1:CG:M:3","2017-06-27","X",NA
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27","X",NA
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27","X",NA
"E1","E1:CG","E1:CG:N","E1:CG:N:3","2017-06-27","X",NA
"E1","E1:CG","E1:CG:S","E1:CG:S:1","2017-06-27","X",NA
"E1","E1:CG","E1:CG:S","E1:CG:S:2","2017-06-27","X",NA
"E1","E1:CG","E1:CG:S","E1:CG:S:3","2017-06-27","X",NA
"E1","E1:CH","E1:CH:M","E1:CH:M:1","2017-06-29","X",NA
"E1","E1:CH","E1:CH:M","E1:CH:M:2","2017-06-29","X",NA
"E1","E1:CH","E1:CH:M","E1:CH:M:3","2017-06-29","X",NA
"E1","E1:CH","E1:CH:N","E1:CH:N:1","2017-06-29","X",NA
"E1","E1:CH","E1:CH:N","E1:CH:N:2","2017-06-29","X",NA
"E1","E1:CH","E1:CH:N","E1:CH:N:3","2017-06-29","X",NA
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","X",NA
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29","X",NA
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","X",NA
"E1","E1:CN","E1:CN:M","E1:CN:M:1","2017-06-28","X",NA
"E1","E1:CN","E1:CN:M","E1:CN:M:2","2017-06-28","X",NA
"E1","E1:CN","E1:CN:M","E1:CN:M:3","2017-06-28","X",NA
"E1","E1:CN","E1:CN:N","E1:CN:N:1","2017-06-28","X",NA
"E1","E1:CN","E1:CN:N","E1:CN:N:2","2017-06-28","X",NA
"E1","E1:CN","E1:CN:N","E1:CN:N:3","2017-06-28","X",NA
"E1","E1:CN","E1:CN:S","E1:CN:S:1","2017-06-28","X",NA
"E1","E1:CN","E1:CN:S","E1:CN:S:2","2017-06-28","X",NA
"E1","E1:CN","E1:CN:S","E1:CN:S:3","2017-06-28","X",NA
"E1","E1:EG","E1:EG:M","E1:EG:M:1","2017-07-11","X",NA
"E1","E1:EG","E1:EG:M","E1:EG:M:2","2017-07-11","X",NA
"E1","E1:EG","E1:EG:M","E1:EG:M:3","2017-07-11","X",NA
"E1","E1:EG","E1:EG:N","E1:EG:N:1","2017-07-10","X",NA
"E1","E1:EG","E1:EG:N","E1:EG:N:2","2017-07-10","X",NA
"E1","E1:EG","E1:EG:N","E1:EG:N:3","2017-07-10","X",NA
"E1","E1:EG","E1:EG:S","E1:EG:S:1","2017-07-11","X",NA
"E1","E1:EG","E1:EG:S","E1:EG:S:2","2017-07-11","X",NA
"E1","E1:EG","E1:EG:S","E1:EG:S:3","2017-07-11","X",NA
"E1","E1:EH","E1:EH:M","E1:EH:M:1","2017-07-04","X",NA
"E1","E1:EH","E1:EH:M","E1:EH:M:2","2017-07-04","X",NA
"E1","E1:EH","E1:EH:M","E1:EH:M:3","2017-07-04","X",NA
"E1","E1:EH","E1:EH:N","E1:EH:N:1","2017-07-04","X",NA
"E1","E1:EH","E1:EH:N","E1:EH:N:2","2017-07-04","X",NA
"E1","E1:EH","E1:EH:N","E1:EH:N:3","2017-07-04","X",NA
"E1","E1:EH","E1:EH:S","E1:EH:S:1","2017-07-04","X",NA
"E1","E1:EH","E1:EH:S","E1:EH:S:2","2017-07-04","X",NA
"E1","E1:EH","E1:EH:S","E1:EH:S:3","2017-07-04","X",NA
"E1","E1:EN","E1:EN:M","E1:EN:M:1","2017-06-28","X",NA
"E1","E1:EN","E1:EN:M","E1:EN:M:2","2017-06-28","X",NA
"E1","E1:EN","E1:EN:M","E1:EN:M:3","2017-06-28","X",NA
"E1","E1:EN","E1:EN:N","E1:EN:N:1","2017-06-28","X",NA
"E1","E1:EN","E1:EN:N","E1:EN:N:2","2017-06-28","X",NA
"E1","E1:EN","E1:EN:N","E1:EN:N:3","2017-06-28","X",NA
"E1","E1:EN","E1:EN:S","E1:EN:S:1","2017-06-28","X",NA
"E1","E1:EN","E1:EN:S","E1:EN:S:2","2017-06-28","X",NA
"E1","E1:EN","E1:EN:S","E1:EN:S:3","2017-06-28","X",NA
"E2","E2:CG","E2:CG:S","E2:CG:S:1","2017-07-05","X",NA
"E2","E2:CG","E2:CG:S","E2:CG:S:2","2017-07-05","X",NA
"E2","E2:CG","E2:CG:S","E2:CG:S:3","2017-07-05","X",NA
"E2","E2:CG","E2:CG:M","E2:CG:M:1","2017-07-05","X",NA
"E2","E2:CG","E2:CG:M","E2:CG:M:2","2017-07-05","X",NA
"E2","E2:CG","E2:CG:M","E2:CG:M:3","2017-07-05","X",NA
"E2","E2:CG","E2:CG:N","E2:CG:N:1","2017-07-05","X",NA
"E2","E2:CG","E2:CG:N","E2:CG:N:2","2017-07-05","X",NA
"E2","E2:CG","E2:CG:N","E2:CG:N:3","2017-07-05","X",NA
"E2","E2:CH","E2:CH:M","E2:CH:M:1","2017-07-05","X",NA
"E2","E2:CH","E2:CH:M","E2:CH:M:2","2017-07-05","X",NA
"E2","E2:CH","E2:CH:M","E2:CH:M:3","2017-07-05","X",NA
"E2","E2:CH","E2:CH:N","E2:CH:N:1","2017-07-05","X",NA
"E2","E2:CH","E2:CH:N","E2:CH:N:2","2017-07-05","X",NA
"E2","E2:CH","E2:CH:N","E2:CH:N:3","2017-07-05","X",NA
"E2","E2:CH","E2:CH:S","E2:CH:S:1","2017-07-05","X",NA
"E2","E2:CH","E2:CH:S","E2:CH:S:2","2017-07-05","X",NA
"E2","E2:CH","E2:CH:S","E2:CH:S:3","2017-07-05","X",NA
"E2","E2:CN","E2:CN:M","E2:CN:M:1","2017-07-20","X",NA
"E2","E2:CN","E2:CN:M","E2:CN:M:2","2017-07-20","X",NA
"E2","E2:CN","E2:CN:M","E2:CN:M:3","2017-07-20","X",NA
"E2","E2:CN","E2:CN:N","E2:CN:N:1","2017-07-10","X",NA
"E2","E2:CN","E2:CN:N","E2:CN:N:2","2017-07-10","X",NA
"E2","E2:CN","E2:CN:N","E2:CN:N:3","2017-07-10","PIJE",1
"E2","E2:CN","E2:CN:S","E2:CN:S:1","2017-07-10","X",NA
"E2","E2:CN","E2:CN:S","E2:CN:S:2","2017-07-10","X",NA
"E2","E2:CN","E2:CN:S","E2:CN:S:3","2017-07-10","X",NA
"E2","E2:EG","E2:EG:M","E2:EG:M:1","2017-07-07","X",NA
"E2","E2:EG","E2:EG:M","E2:EG:M:2","2017-07-07","X",NA
"E2","E2:EG","E2:EG:M","E2:EG:M:3","2017-07-07","X",NA
"E2","E2:EG","E2:EG:N","E2:EG:N:1","2017-07-07","X",NA
"E2","E2:EG","E2:EG:N","E2:EG:N:2","2017-07-07","X",NA
"E2","E2:EG","E2:EG:N","E2:EG:N:3","2017-07-07","X",NA
"E2","E2:EG","E2:EG:S","E2:EG:S:1","2017-07-07","X",NA
"E2","E2:EG","E2:EG:S","E2:EG:S:2","2017-07-07","X",NA
"E2","E2:EG","E2:EG:S","E2:EG:S:3","2017-07-07","X",NA
"E2","E2:EH","E2:EH:M","E2:EH:M:1","2017-07-06","X",NA
"E2","E2:EH","E2:EH:M","E2:EH:M:2","2017-07-06","X",NA
"E2","E2:EH","E2:EH:M","E2:EH:M:3","2017-07-06","X",NA
"E2","E2:EH","E2:EH:N","E2:EH:N:1","2017-07-06","X",NA
"E2","E2:EH","E2:EH:N","E2:EH:N:2","2017-07-06","PIPO",0.55
"E2","E2:EH","E2:EH:N","E2:EH:N:3","2017-07-06","X",NA
"E2","E2:EH","E2:EH:S","E2:EH:S:1","2017-07-06","X",NA
"E2","E2:EH","E2:EH:S","E2:EH:S:2","2017-07-06","PIPO",0.74
"E2","E2:EH","E2:EH:S","E2:EH:S:3","2017-07-06","X",NA
"E2","E2:EN","E2:EN:N","E2:EN:N:1","2017-07-06","X",NA
"E2","E2:EN","E2:EN:N","E2:EN:N:2","2017-07-06","X",NA
"E2","E2:EN","E2:EN:N","E2:EN:N:3","2017-07-06","X",NA
"E2","E2:EN","E2:EN:M","E2:EN:M:1","2017-07-06","X",NA
"E2","E2:EN","E2:EN:M","E2:EN:M:2","2017-07-06","X",NA
"E2","E2:EN","E2:EN:M","E2:EN:M:3","2017-07-06","X",NA
"E2","E2:EN","E2:EN:S","E2:EN:S:1","2017-07-06","X",NA
"E2","E2:EN","E2:EN:S","E2:EN:S:2","2017-07-06","X",NA
"E2","E2:EN","E2:EN:S","E2:EN:S:3","2017-07-06","X",NA
"E3","E3:CG","E3:CG:M","E3:CG:M:1","2017-07-18","X",NA
"E3","E3:CG","E3:CG:M","E3:CG:M:2","2017-07-18","X",NA
"E3","E3:CG","E3:CG:M","E3:CG:M:3","2017-07-18","X",NA
"E3","E3:CG","E3:CG:N","E3:CG:N:1","2017-07-18","X",NA
"E3","E3:CG","E3:CG:N","E3:CG:N:2","2017-07-18","PIJE",0.62
"E3","E3:CG","E3:CG:N","E3:CG:N:3","2017-07-18","X",NA
"E3","E3:CG","E3:CG:S","E3:CG:S:1","2017-07-18","X",NA
"E3","E3:CG","E3:CG:S","E3:CG:S:2","2017-07-18","PIPO",0.66
"E3","E3:CG","E3:CG:S","E3:CG:S:3","2017-07-18","X",NA
"E3","E3:CH","E3:CH:M","E3:CH:M:1","2017-07-19","PIJE",0.75
"E3","E3:CH","E3:CH:M","E3:CH:M:2","2017-07-19","PIJE",1.02
"E3","E3:CH","E3:CH:M","E3:CH:M:3","2017-07-19","X",NA
"E3","E3:CH","E3:CH:N","E3:CH:N:1","2017-07-19","X",NA
"E3","E3:CH","E3:CH:N","E3:CH:N:2","2017-07-19","X",NA
"E3","E3:CH","E3:CH:N","E3:CH:N:3","2017-07-19","X",NA
"E3","E3:CH","E3:CH:S","E3:CH:S:1","2017-07-19","X",NA
"E3","E3:CH","E3:CH:S","E3:CH:S:2","2017-07-19","PIJE",1.78
"E3","E3:CH","E3:CH:S","E3:CH:S:2","2017-07-19","PIJE",0.85
