"block","plot","transect","subtransect","date","slope","startpoint_m","x1_hour_count","x10_hour_count","x100_hour_count"
"E1","E1:CG","E1:CG:M","E1:CG:M:1","2017-06-27",23,3,2,5,0
"E1","E1:CG","E1:CG:M","E1:CG:M:1","2017-06-27",23,13,6,6,2
"E1","E1:CG","E1:CG:M","E1:CG:M:1","2017-06-27",23,23,2,2,0
"E1","E1:CG","E1:CG:M","E1:CG:M:2","2017-06-27",24,3,0,0,0
"E1","E1:CG","E1:CG:M","E1:CG:M:2","2017-06-27",24,13,0,0,1
"E1","E1:CG","E1:CG:M","E1:CG:M:2","2017-06-27",24,23,0,2,2
"E1","E1:CG","E1:CG:M","E1:CG:M:3","2017-06-27",NA,3,3,0,0
"E1","E1:CG","E1:CG:M","E1:CG:M:3","2017-06-27",NA,13,0,4,3
"E1","E1:CG","E1:CG:M","E1:CG:M:3","2017-06-27",NA,23,0,1,3
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27",24,3,0,3,2
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27",24,13,0,1,2
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27",24,23,2,0,1
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27",30,3,0,3,5
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27",30,13,2,6,3
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27",30,23,1,2,3
"E1","E1:CG","E1:CG:N","E1:CG:N:3","2017-06-27",24,3,0,1,4
"E1","E1:CG","E1:CG:N","E1:CG:N:3","2017-06-27",24,13,0,1,1
"E1","E1:CG","E1:CG:N","E1:CG:N:3","2017-06-27",24,23,0,0,3
"E1","E1:CG","E1:CG:S","E1:CG:S:1","2017-06-27",28,3,1,1,0
"E1","E1:CG","E1:CG:S","E1:CG:S:1","2017-06-27",28,13,0,2,4
"E1","E1:CG","E1:CG:S","E1:CG:S:1","2017-06-27",28,23,4,3,1
"E1","E1:CG","E1:CG:S","E1:CG:S:2","2017-06-27",15,3,0,2,1
"E1","E1:CG","E1:CG:S","E1:CG:S:2","2017-06-27",15,13,1,6,5
"E1","E1:CG","E1:CG:S","E1:CG:S:2","2017-06-27",15,23,0,0,1
"E1","E1:CG","E1:CG:S","E1:CG:S:3","2017-06-27",16,3,0,2,2
"E1","E1:CG","E1:CG:S","E1:CG:S:3","2017-06-27",16,13,0,4,0
"E1","E1:CG","E1:CG:S","E1:CG:S:3","2017-06-27",16,23,0,1,0
